1.0321442484e-03;9.2574939193e-01;4.7959410655e-01;5.1153264328e-01;5.2990565276e-01;4.5755135155e-01;5.2478631774e-01;5.2375777824e-01;4.8795545949e-01;0;
1.1899103906e-04;4.2762088590e-01;1.4385388599e+00;-4.2279634496e-01;2.4683464436e-01;-6.4382072899e-01;2.2376746313e+00;5.9889126573e-01;-5.9667787434e-01;2;
1.6511803292e-04;6.3618487612e-01;9.4113266718e-01;-1.3029099471e+00;6.3724623842e-01;6.2068870862e-01;1.2119034446e+00;-1.3891882319e-01;-1.0907771011e+00;0;
4.7969878403e-04;4.3101232412e-01;1.2036668640e+00;-2.1615100982e+00;2.0203560680e-02;-8.1895340348e-01;1.2795145387e+00;8.6072033609e-02;-1.2115279785e+00;1;
1.1250631856e-04;5.2291590991e-01;1.5570968833e+00;-2.3781678711e+00;-2.2245394733e-01;-3.0612353233e+00;-2.3238461119e-02;4.7466923784e-01;-1.0153368149e+00;0;
2.1507418430e-04;3.1501845574e-01;1.8058718122e-01;-1.3709849108e+00;1.3874118371e-01;-3.4830302568e+00;4.7913097837e-01;-3.4463586812e-01;-1.6745229025e+00;1;
4.9768294336e-06;2.6622242914e-01;1.2617396577e+00;-2.2703477850e+00;1.0150239586e+00;-4.9024124161e+00;1.7557104561e+00;1.0335759601e+00;-2.3642922844e+00;2;
2.6220664591e-04;4.2732400701e-01;1.1097355051e+00;-3.7454753798e+00;1.1878833203e+00;-4.4568704165e+00;3.2305247961e+00;1.3517402000e+00;-1.7816724402e+00;1;
6.5908057284e-04;4.7142164251e-01;1.8663513668e+00;-4.8881114194e+00;1.0138106951e+00;-3.8180430772e+00;3.1046852560e+00;1.3055811203e+00;-1.7191406354e+00;1;
1.8425201277e-04;4.0777750071e-01;1.0696071026e+00;-5.7443123625e+00;1.1727735443e+00;-3.0035271390e+00;4.6438019777e+00;1.0408983413e+00;-7.2932549904e-01;1;
2.0148312858e-04;4.9747892352e-01;1.7295737043e-01;-4.8175379063e+00;1.2615305853e-01;-2.4427113152e+00;5.1525759870e+00;1.6357991112e+00;4.7862785514e-01;1;
3.4831898423e-07;1.3443044428e-01;2.3181393932e+00;-4.9544954495e+00;-1.3669788049e+00;-2.4442292819e+00;2.9619560661e+00;2.6509761975e+00;-1.0004953493e+00;2;
4.6097148317e-04;2.7537361462e-01;2.0332582577e+00;-5.5861683484e+00;-1.7482916469e+00;-2.0632580763e+00;3.1921326510e+00;4.1326310411e+00;-1.0535228997e+00;2;
1.8234323493e-04;4.4989833171e-01;3.2571011352e+00;-6.9928218674e+00;-2.8224602082e+00;-2.0373616131e+00;3.2508943142e+00;4.7567389722e+00;-9.5040936348e-01;1;
9.3731235520e-06;4.9492306424e-01;1.7858362611e+00;-9.5263360880e+00;-3.1120689564e+00;-2.0399442457e+00;2.6911335079e+00;4.9573362138e+00;1.3714792073e-01;1;
1.8169072720e-04;4.8074696423e-01;1.0528379883e+00;-9.2378683646e+00;-2.6691655793e+00;-2.3813428283e+00;1.5908250152e+00;4.7191123504e+00;-1.4613365991e+00;1;
1.1346766376e-04;5.4857015152e-01;1.3827297697e-01;-8.4066830100e+00;-1.4166941732e+00;-2.9743219644e+00;8.1701440459e-01;5.4982742843e+00;-8.8406214803e-01;0;
2.5310306826e-06;1.0108805129e-01;-6.2561619084e-03;-9.7702947623e+00;-3.5506141012e-01;-4.5116264690e-01;1.6036277531e+00;5.7764272342e+00;2.3498981806e-01;3;
2.7133522389e-04;3.8707320393e-01;5.2905963200e-01;-9.8620600310e+00;4.3638277576e-02;-2.1264533671e-01;2.4773507465e+00;5.6229179254e+00;-1.1644263154e+00;1;
1.8432359968e-05;2.7999932644e-01;1.5319218990e+00;-1.0182883563e+01;1.4688812018e-01;-1.1072589025e+00;3.0002348027e+00;3.1939406353e+00;-2.4622701570e+00;1;
